phase_num,steps_skip,steps_skip_forecast,tc,apc,aec,agc,agent_time_elapsed
3,12,1,0.8791127377247937,0.7880194912700763,0.943083788309556,0.9062349335947484,1841.388546838425
3,11,1,0.8760867780715272,0.7890221666715167,0.9370892338127302,0.9021489337303348,2028.7605177543592
3,10,1,0.8755243303500957,0.7889537542324717,0.9370123168477302,0.9006069199700852,2209.8910401414614
3,9,1,0.8767857836518287,0.7891571295233794,0.9376675023840281,0.9035327190480789,2442.028633589158
3,8,1,0.873987316436867,0.790316087779195,0.9336319309867656,0.8980139305446404,2734.315715351375
3,7,1,0.8750603833640627,0.7878584081746828,0.9353399497134883,0.9019827922040167,3117.896548154298
3,6,1,0.876046975735068,0.7886230865311878,0.935957517858119,0.9035603228158972,3610.694538536947
3,5,1,0.8748730416926288,0.7891988452596955,0.9333206667035936,0.9020996131145971,4302.896326525835
3,4,1,0.8742718664906951,0.7893698067129594,0.9306658702187313,0.9027799225403947,5448.755052088294
3,3,1,0.8732337345272032,0.7901159675766849,0.9303603562454712,0.8995248797594535,7250.505826071138
3,2,1,0.8749236663479872,0.790984969803223,0.929283673978757,0.9066023552619813,10800.418100202922
3,1,1,0.8756315401559505,0.7922761270708139,0.9291975720115568,0.9054209213854805,22316.74248773465